source_json,category,filename,status,log
New_Benchmarks\LFR-TestCases\dropx\dropx_test1\dropx_test1_fromLFR.json,LFR-TestCases/dropx_test1,dropx_test1_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dropx_test1__dropx_test1_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dropx_test2\dropx_test2_fromLFR.json,LFR-TestCases/dropx_test2,dropx_test2_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dropx_test2__dropx_test2_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dropx_test3\dropx_test3_fromLFR.json,LFR-TestCases/dropx_test3,dropx_test3_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dropx_test3__dropx_test3_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dropx_test4\dropx_test4_fromLFR.json,LFR-TestCases/dropx_test4,dropx_test4_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dropx_test4__dropx_test4_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx1\dx1_fromLFR.json,LFR-TestCases/dx1,dx1_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx1__dx1_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx10\dx10_fromLFR.json,LFR-TestCases/dx10,dx10_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx10__dx10_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx11\dx11_fromLFR.json,LFR-TestCases/dx11,dx11_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx11__dx11_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx12\dx12_fromLFR.json,LFR-TestCases/dx12,dx12_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx12__dx12_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx13\dx13_fromLFR.json,LFR-TestCases/dx13,dx13_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx13__dx13_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx14\dx14_fromLFR.json,LFR-TestCases/dx14,dx14_fromLFR,FAIL:1,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx14__dx14_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx15\dx15_fromLFR.json,LFR-TestCases/dx15,dx15_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx15__dx15_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx2\dx2_fromLFR.json,LFR-TestCases/dx2,dx2_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx2__dx2_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx3\dx3_fromLFR.json,LFR-TestCases/dx3,dx3_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx3__dx3_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx4\dx4_fromLFR.json,LFR-TestCases/dx4,dx4_fromLFR,FAIL:1,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx4__dx4_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx5\dx5_fromLFR.json,LFR-TestCases/dx5,dx5_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx5__dx5_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx6\dx6_fromLFR.json,LFR-TestCases/dx6,dx6_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx6__dx6_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx7\dx7_fromLFR.json,LFR-TestCases/dx7,dx7_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx7__dx7_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx8\dx8_fromLFR.json,LFR-TestCases/dx8,dx8_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx8__dx8_fromLFR.log
New_Benchmarks\LFR-TestCases\dropx\dx9\dx9_fromLFR.json,LFR-TestCases/dx9,dx9_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_154043\dropx__dx9__dx9_fromLFR.log
