benchmark_path,device,subnet_sizes,n_components,n_connections,fully,has_singleton,control_pairs_only
Results/LFR-TestCases/COVID/aj_rtpcr_8primer,aj_rtpcr_8primer,"[29]",29,37,1,0,0
Results/LFR-TestCases/COVID/arize,arize,"[39]",39,44,1,0,0
Results/LFR-TestCases/COVID/covid_crispr,covid_crispr,"[4]",4,3,1,0,0
Results/LFR-TestCases/COVID/crispr,crispr,"[12]",12,11,1,0,0
Results/LFR-TestCases/COVID/detectr,detectr,"[20]",20,19,1,0,0
Results/LFR-TestCases/COVID/electro4,electro4,"[12]",12,14,1,0,0
Results/LFR-TestCases/COVID/elisalfr,elisalfr,"[8]",8,8,1,0,0
Results/LFR-TestCases/COVID/hybri_detect,hybri_detect,"[10]",10,9,1,0,0
Results/LFR-TestCases/COVID/part1_rna,part1_rna,"[10]",10,9,1,0,0
Results/LFR-TestCases/COVID/part2_lfr,part2_lfr,"[8]",8,7,1,0,0
Results/LFR-TestCases/COVID/part3_gel,part3_gel,"[12]",12,11,1,0,0
Results/LFR-TestCases/COVID/rt_pcr,rt_pcr,"[4]",4,3,1,0,0
Results/LFR-TestCases/Expressions/expression1,expression1,"[6]",6,5,1,0,0
Results/LFR-TestCases/Expressions/expression10,expression10,"[8]",8,7,1,0,0
Results/LFR-TestCases/Expressions/expression11,expression11,"[4]",4,3,1,0,0
Results/LFR-TestCases/Expressions/expression12,expression12,"[26]",26,49,1,0,0
Results/LFR-TestCases/Expressions/expression13,expression13,"[4]",4,3,1,0,0
Results/LFR-TestCases/Expressions/expression14,expression14,"[58]",58,68,1,0,0
Results/LFR-TestCases/Expressions/expression15,expression15,"[18]",18,17,1,0,0
Results/LFR-TestCases/Expressions/expression2,expression2,"[7]",7,6,1,0,0
Results/LFR-TestCases/Expressions/expression3,expression3,"[7]",7,6,1,0,0
Results/LFR-TestCases/Expressions/expression4,expression4,"[8]",8,7,1,0,0
Results/LFR-TestCases/Expressions/expression5,expression5,"[9]",9,8,1,0,0
Results/LFR-TestCases/Expressions/expression6,expression6,"[11]",11,10,1,0,0
Results/LFR-TestCases/Expressions/expression7,expression7,"[11]",11,19,1,0,0
Results/LFR-TestCases/Expressions/expression8,expression8,"[10]",10,10,1,0,0
Results/LFR-TestCases/Expressions/expression9,expression9,"[8]",8,7,1,0,0
Results/LFR-TestCases/GraphCoverage/cycle,cycle,"[6]",6,5,1,0,0
Results/LFR-TestCases/GraphCoverage/n_g_m_map,n_g_m_map,"[10]",10,9,1,0,0
Results/LFR-TestCases/GraphCoverage/n_l_m_map,n_l_m_map,"[10]",10,9,1,0,0
Results/LFR-TestCases/GraphCoverage/one_to_one,one_to_one,"[2]",2,1,1,0,0
Results/LFR-TestCases/GraphCoverage/tree_bus,tree_bus,"[2]",2,1,1,0,0
Results/LFR-TestCases/GraphCoverage/tree_fanin,tree_fanin,"[10]",10,9,1,0,0
Results/LFR-TestCases/GraphCoverage/tree_fanout,tree_fanout,"[10]",10,9,1,0,0
Results/LFR-TestCases/LiteratureBenchmarks/device1_sc_rna_seq,device1_sc_rna_seq,"[9]",9,9,1,0,0
Results/LFR-TestCases/LiteratureBenchmarks/device2_artificial_cells,device2_artificial_cells,"[26]",26,32,1,0,0
Results/LFR-TestCases/LiteratureBenchmarks/device4_molecular_diagnostics,device4_molecular_diagnostics,"[10]",10,10,1,0,0
Results/LFR-TestCases/LiteratureBenchmarks/device5_bacteria_diagnostics,device5_bacteria_diagnostics,"[8, 3]",11,9,0,0,0
Results/LFR-TestCases/LiteratureBenchmarks/device6_organic_chemical_synthesis,device6_organic_chemical_synthesis,"[36, 3]",39,37,0,0,0
Results/LFR-TestCases/LiteratureBenchmarks/device7_enzyme_screening,device7_enzyme_screening,"[19]",19,18,1,0,0
Results/LFR-TestCases/ParserTest/declarations,declarations,"[2]",2,1,1,0,0
Results/LFR-TestCases/ParserTest/pumpstat,pumpstat,"[2]",2,1,1,0,0
Results/LFR-TestCases/Protocols/MARS/cell_lysis,cell_lysis,"[8]",8,7,1,0,0
Results/LFR-TestCases/Protocols/MARS/cell_sorting,cell_sorting,"[4]",4,3,1,0,0
Results/LFR-TestCases/Protocols/MARS/dna_digest,dna_digest,"[13]",13,12,1,0,0
Results/LFR-TestCases/Protocols/MARS/fluorescence,fluorescence,"[11]",11,10,1,0,0
Results/LFR-TestCases/Protocols/MARS/ligation,ligation,"[26]",26,25,1,0,0
Results/LFR-TestCases/Protocols/MARS/pcr,pcr,"[3]",3,2,1,0,0
Results/LFR-TestCases/Protocols/MARS/transformation,transformation,"[12]",12,11,1,0,0
Results/LFR-TestCases/Protocols/directed_evolution,directed_evolution,"[24]",24,35,1,0,0
Results/LFR-TestCases/Ryuichi's designs/chemostat_chip,chemostat_chip,"[28]",28,34,1,0,0
Results/LFR-TestCases/Ryuichi's designs/dnasynthesizer,dnasynthesizer,"[55]",55,54,1,0,0
Results/LFR-TestCases/Ryuichi's designs/genetic_clock_testing_tool,genetic_clock_testing_tool,"[9]",9,10,1,0,0
Results/LFR-TestCases/Ryuichi's designs/glycoform,glycoform,"[13]",13,12,1,0,0
Results/LFR-TestCases/Ryuichi's designs/gradient,gradient,"[48]",48,57,1,0,0
Results/LFR-TestCases/Ryuichi's designs/incubator,incubator,"[18]",18,17,1,0,0
Results/LFR-TestCases/Ryuichi's designs/inlet16,inlet16,"[40]",40,39,1,0,0
Results/LFR-TestCases/Ryuichi's designs/kinetics,kinetics,"[6]",6,5,1,0,0
Results/LFR-TestCases/Ryuichi's designs/mfd005chip,mfd005chip,"[12]",12,11,1,0,0
Results/LFR-TestCases/Ryuichi's designs/microalgal_bioassay,microalgal_bioassay,"[11]",11,14,1,0,0
Results/LFR-TestCases/Ryuichi's designs/microdroplet,microdroplet,"[17]",17,16,1,0,0
Results/LFR-TestCases/Ryuichi's designs/microreactor,microreactor,"[8]",8,10,1,0,0
Results/LFR-TestCases/Ryuichi's designs/mux96chambers,mux96chambers,"[146]",146,240,1,0,0
Results/LFR-TestCases/Ryuichi's designs/nine_to_one_mux,nine_to_one_mux,"[20]",20,19,1,0,0
Results/LFR-TestCases/Ryuichi's designs/olfactory,olfactory,"[10]",10,9,1,0,0
Results/LFR-TestCases/Ryuichi's designs/rootchip,rootchip,"[20]",20,19,1,0,0
